margin,tanggal,balance,jml_trx
1607123,24-11-2013,129729397.9,348
-5272414.14,24-12-2012,138343858.675,283
900358,24-12-2013,116961093.24,406
-612591,25-01-2013,155290562.85,306
686149,25-01-2014,141667378.95,422
-265964,25-02-2013,175204330.35,328
-216739,25-02-2014,94257012.74,445
-165620,25-03-2013,186832370.86,365
-630795,25-03-2014,202908573.54,452
558243,25-04-2013,206707481.65,329
-189569,25-04-2014,185021740.73,556
742220,25-05-2013,226725305.02,251
-2868290.95,25-06-2013,130836309.31,331
19633024,25-07-2013,136529397.9,338
295940,25-08-2013,122476333.38,273
1448627,25-09-2013,138522959.25,370
723485,25-10-2013,145280292.34,345
123702,25-11-2012,133542268.12,208
311297,25-11-2013,128053937.9,386
1189757.95,25-12-2012,139583954.77,290
522672,25-12-2013,117656811.24,374
472432,26-01-2013,155908972.85,311
656155,26-01-2014,142108535.95,373
431882,26-02-2013,175730701.35,321
-683454,26-03-2013,186772190.86,366
-308585,26-03-2014,204766317.54,410
1447401,26-04-2013,208170985.65,288
3042749,26-04-2014,185802900.73,599
-199970,26-05-2013,226192712.02,267
-687336,26-06-2013,131197844.31,371
255004,26-07-2013,136870317.9,271
208270,26-08-2013,122748251.38,359
462246,26-09-2013,138188187.25,427
1335136,26-10-2013,146997472.34,340
-196147,26-11-2012,133289208.12,251
-382335,26-11-2013,127634772.9,445
50915,26-12-2012,139312314.77,282
723690,26-12-2013,117977677.24,389
576852,27-01-2013,156531942.85,272
133035,27-01-2014,142241570.95,421
-1033852,27-02-2013,175137763.35,330
457948,27-02-2014,93568307.74,460
54295,27-03-2013,187379708.86,343
595725,27-04-2013,207681651.65,341
3247374,27-04-2014,187949854.73,491
-1473056,27-05-2013,224846909.02,276
165097,27-06-2013,133025336.31,369
491083,27-07-2013,137974595.9,397
531831,27-08-2013,123280082.38,125
25551,27-09-2013,138096797.25,364
614497,27-10-2013,147457858.34,366
307248,27-11-2012,133740412.12,238
-462392,27-11-2013,116717117.9,343
735498,27-12-2012,140396360.77,276
5352048,27-12-2013,122323371.24,377
813897,28-01-2013,157494623.85,333
883949,28-01-2014,143423102.95,473
4691695,28-02-2013,180999427.35,323
-1543203,28-02-2014,98281314.74,415
3770721,28-03-2013,191528416.86,336
-513184,28-04-2013,207168467.65,282
-4718965,28-04-2014,183233074.73,542
-902717,28-05-2013,224148349.02,295
4477996,28-06-2013,137747266.31,310
97231,28-07-2013,137959143.9,328
1673268,28-08-2013,125053547.38,355
-90144,28-09-2013,138445241.25,408
-1596360,28-10-2013,145821311.34,414
397156,28-11-2012,134651774.12,205
-366942,28-11-2013,115480526.9,437
3975103,28-12-2012,143937614.77,281
326348,28-12-2013,123385177.24,405
-8095,29-01-2013,157905393.85,330
1640800,29-01-2014,145063902.95,448
971203,29-03-2013,192535549.36,366
-278439,29-03-2014,205756730.52,430
590952.2,29-04-2013,208676721.65,353
-835829,29-04-2014,186756219.73,583
520140,29-05-2013,224668489.02,261
-2236138,29-06-2013,135746202.73,327
-987234,29-07-2013,137183510.9,408
-418915,29-08-2013,125170495.38,343
117653,29-09-2013,139003531.25,325
-698279,29-10-2013,144007734.34,394
-760640,29-11-2012,133566104.12,246
525387,29-11-2013,120385727.9,409
-203844,29-12-2012,143640381.77,304
628173,29-12-2013,124962580.24,383
-467652,30-01-2013,157572998.85,310
331256,30-01-2014,152722401.95,430
287699,30-03-2013,192483445.36,325
210683,30-03-2014,204675086.52,402
5025523.8,30-04-2013,213702245.45,360
-196712,30-04-2014,199325606.73,543
-831162,30-05-2013,223837327.02,286
-762390,30-06-2013,134983812.73,342
-561433,30-07-2013,137838066.9,281
4179395,30-08-2013,129481712.38,404
-1534807.75,30-09-2013,143815102.25,437
502615,30-10-2013,144510349.34,358
5251490,30-11-2012,139315946.12,272
710814,30-11-2013,121504650.36,401
1083804,30-12-2012,145657220.77,290
583275,30-12-2013,125847519.24,477
4651861,31-01-2013,163141402.85,292
877662,31-01-2014,154482218.4,381
476963,31-03-2013,193387597.36,349
561238,31-03-2014,205324035.52,427
-95117404.93,31-05-2013,129886389.09,223
3549475.2,31-07-2013,141826098.1,385
212857,31-08-2013,130219880.6,405
-67481,31-10-2013,148481037.34,375
125510,31-12-2012,145393761.77,280
194652,31-12-2013,127136233.24,423

